,season,city,team1,team2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2,loser,toss/win,batfirst,batsecond
17,2017,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,Kolkata Knight Riders,0,4,NM Coulter-Nile,Nitin Menon,CK Nandan,Delhi Daredevils,,,Kolkata Knight Riders
18,2017,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,Sunrisers Hyderabad,5,0,B Kumar,AY Dandekar,A Deshmukh,Kings XI Punjab,,Sunrisers Hyderabad,
19,2017,Rajkot,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,Royal Challengers Bangalore,21,0,CH Gayle,S Ravi,VK Sharma,Gujarat Lions,,Royal Challengers Bangalore,
20,2017,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,Sunrisers Hyderabad,15,0,KS Williamson,CB Gaffaney,NJ Llong,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,
21,2017,Indore,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,8,JC Buttler,M Erasmus,C Shamshuddin,Kings XI Punjab,Mumbai Indians,,Mumbai Indians
22,2017,Kolkata,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions,0,4,SK Raina,CB Gaffaney,Nitin Menon,Kolkata Knight Riders,Gujarat Lions,,Gujarat Lions
23,2017,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Mumbai Indians,14,0,MJ McClenaghan,A Nand Kishore,S Ravi,Delhi Daredevils,,Mumbai Indians,
24,2017,Pune,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,Rising Pune Supergiant,0,6,MS Dhoni,AY Dandekar,A Deshmukh,Sunrisers Hyderabad,Rising Pune Supergiant,,Rising Pune Supergiant
25,2017,Rajkot,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,Kings XI Punjab,26,0,HM Amla,AK Chaudhary,M Erasmus,Gujarat Lions,,Kings XI Punjab,
26,2017,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Kolkata Knight Riders,82,0,NM Coulter-Nile,CB Gaffaney,CK Nandan,Royal Challengers Bangalore,,Kolkata Knight Riders,
27,2017,Mumbai,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,Rising Pune Supergiant,3,0,BA Stokes,A Nand Kishore,S Ravi,Mumbai Indians,,Rising Pune Supergiant,
28,2017,Pune,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,7,RV Uthappa,AY Dandekar,NJ Llong,Rising Pune Supergiant,Kolkata Knight Riders,,Kolkata Knight Riders
29,2017,Bangalore,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions,0,7,AJ Tye,AK Chaudhary,C Shamshuddin,Royal Challengers Bangalore,Gujarat Lions,,Gujarat Lions
30,2017,Kolkata,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,7,G Gambhir,NJ Llong,S Ravi,Delhi Daredevils,Kolkata Knight Riders,,Kolkata Knight Riders
31,2017,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,Sunrisers Hyderabad,26,0,Rashid Khan,Nitin Menon,CK Nandan,Kings XI Punjab,,Sunrisers Hyderabad,
32,2017,Pune,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Rising Pune Supergiant,61,0,LH Ferguson,KN Ananthapadmanabhan,M Erasmus,Royal Challengers Bangalore,,Rising Pune Supergiant,
33,2017,Rajkot,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,tie,Mumbai Indians,0,0,KH Pandya,AK Chaudhary,CB Gaffaney,Gujarat Lions,,,Mumbai Indians
34,2017,Chandigarh,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,10,Sandeep Sharma,YC Barde,CK Nandan,Delhi Daredevils,Kings XI Punjab,,Kings XI Punjab
35,2017,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Sunrisers Hyderabad,48,0,DA Warner,AY Dandekar,S Ravi,Kolkata Knight Riders,,Sunrisers Hyderabad,
36,2017,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,normal,Mumbai Indians,0,5,RG Sharma,AK Chaudhary,CB Gaffaney,Royal Challengers Bangalore,,,Mumbai Indians
37,2017,Pune,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,Rising Pune Supergiant,0,5,BA Stokes,M Erasmus,C Shamshuddin,Gujarat Lions,Rising Pune Supergiant,,Rising Pune Supergiant
38,2017,Delhi,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,6,Mohammed Shami,YC Barde,Nitin Menon,Sunrisers Hyderabad,Delhi Daredevils,,Delhi Daredevils
39,2017,Kolkata,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,Rising Pune Supergiant,0,4,RA Tripathi,KN Ananthapadmanabhan,A Nand Kishore,Kolkata Knight Riders,Rising Pune Supergiant,,Rising Pune Supergiant
40,2017,Delhi,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,7,RR Pant,M Erasmus,Nitin Menon,Gujarat Lions,Delhi Daredevils,,Delhi Daredevils
41,2017,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Kings XI Punjab,19,0,Sandeep Sharma,CB Gaffaney,C Shamshuddin,Royal Challengers Bangalore,,Kings XI Punjab,
42,2017,Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Rising Pune Supergiant,12,0,JD Unadkat,KN Ananthapadmanabhan,AK Chaudhary,Sunrisers Hyderabad,,Rising Pune Supergiant,
43,2017,Delhi,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Mumbai Indians,146,0,LMP Simmons,Nitin Menon,CK Nandan,Delhi Daredevils,,Mumbai Indians,
44,2017,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,6,SP Narine,AY Dandekar,C Shamshuddin,Royal Challengers Bangalore,Kolkata Knight Riders,,Kolkata Knight Riders
45,2017,Chandigarh,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions,0,6,DR Smith,A Nand Kishore,VK Sharma,Kings XI Punjab,Gujarat Lions,,Gujarat Lions
46,2017,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,Sunrisers Hyderabad,0,7,S Dhawan,KN Ananthapadmanabhan,M Erasmus,Mumbai Indians,,,Sunrisers Hyderabad
47,2017,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kings XI Punjab,14,0,MM Sharma,A Nand Kishore,S Ravi,Kolkata Knight Riders,,Kings XI Punjab,
48,2017,Kanpur,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,2,SS Iyer,YC Barde,AK Chaudhary,Gujarat Lions,Delhi Daredevils,,Delhi Daredevils
49,2017,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Kings XI Punjab,7,0,WP Saha,A Deshmukh,A Nand Kishore,Mumbai Indians,,Kings XI Punjab,
50,2017,Delhi,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,normal,Delhi Daredevils,7,0,KK Nair,KN Ananthapadmanabhan,CK Nandan,Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils,
51,2017,Kanpur,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,0,8,Mohammed Siraj,AK Chaudhary,Nitin Menon,Gujarat Lions,Sunrisers Hyderabad,,Sunrisers Hyderabad
52,2017,Kolkata,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Mumbai Indians,9,0,AT Rayudu,A Nand Kishore,S Ravi,Kolkata Knight Riders,,Mumbai Indians,
53,2017,Pune,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,Rising Pune Supergiant,0,9,JD Unadkat,AY Dandekar,A Deshmukh,Kings XI Punjab,Rising Pune Supergiant,,Rising Pune Supergiant
54,2017,Delhi,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,10,0,HV Patel,CK Nandan,C Shamshuddin,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,
55,2017,Mumbai,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,Rising Pune Supergiant,20,0,Washington Sundar,S Ravi,C Shamshuddin,Mumbai Indians,,Rising Pune Supergiant,
