,season,city,team1,team2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2,loser,toss/win,batfirst,batsecond
113,2008,Hyderabad,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,Chennai Super Kings,0,7,SK Raina,BG Jerling,AM Saheba,Deccan Chargers,,,Chennai Super Kings
114,2008,Mumbai,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,Rajasthan Royals,105,0,SR Watson,BF Bowden,RE Koertzen,Delhi Daredevils,,Rajasthan Royals,
115,2008,Mumbai,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,Chennai Super Kings,0,9,M Ntini,Asad Rauf,DJ Harper,Kings XI Punjab,,,Chennai Super Kings
116,2008,Mumbai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,3,YK Pathan,BF Bowden,RE Koertzen,Chennai Super Kings,Rajasthan Royals,,Rajasthan Royals
117,2009,Cape Town,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,Mumbai Indians,19,0,SR Tendulkar,BR Doctrove,K Hariharan,Chennai Super Kings,,Mumbai Indians,
118,2009,Cape Town,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,75,0,R Dravid,BR Doctrove,RB Tiffin,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,
119,2009,Cape Town,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,10,DL Vettori,MR Benson,SD Ranade,Kings XI Punjab,Delhi Daredevils,,Delhi Daredevils
120,2009,Cape Town,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,Deccan Chargers,0,8,RP Singh,MR Benson,BR Doctrove,Kolkata Knight Riders,,,Deccan Chargers
121,2009,Port Elizabeth,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,Chennai Super Kings,92,0,M Muralitharan,BG Jerling,SJA Taufel,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,
122,2009,Durban,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,11,0,CH Gayle,DJ Harper,SD Ranade,Kings XI Punjab,Kolkata Knight Riders,,Kolkata Knight Riders
123,2009,Cape Town,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,Deccan Chargers,24,0,AC Gilchrist,M Erasmus,AM Saheba,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,
124,2009,Durban,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,normal,Delhi Daredevils,9,0,AB de Villiers,BR Doctrove,SJA Taufel,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,
125,2009,Cape Town,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,tie,Rajasthan Royals,0,0,YK Pathan,MR Benson,M Erasmus,Kolkata Knight Riders,,Rajasthan Royals,
126,2009,Durban,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,Kings XI Punjab,0,7,RS Bopara,BR Doctrove,TH Wijewardene,Royal Challengers Bangalore,,,Kings XI Punjab
127,2009,Durban,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,Deccan Chargers,12,0,PP Ojha,HDPK Dharmasena,SJA Taufel,Mumbai Indians,Deccan Chargers,Deccan Chargers,
128,2009,Port Elizabeth,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,Delhi Daredevils,0,6,TM Dilshan,S Asnani,BG Jerling,Royal Challengers Bangalore,,,Delhi Daredevils
129,2009,Cape Town,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,Kings XI Punjab,27,0,KC Sangakkara,M Erasmus,K Hariharan,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,
130,2009,Durban,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,Deccan Chargers,0,6,HH Gibbs,IL Howell,TH Wijewardene,Chennai Super Kings,Deccan Chargers,,Deccan Chargers
131,2009,Port Elizabeth,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,Mumbai Indians,92,0,SR Tendulkar,BG Jerling,RB Tiffin,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,
132,2009,Centurion,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,Rajasthan Royals,0,5,YK Pathan,GAV Baxter,RE Koertzen,Delhi Daredevils,,,Rajasthan Royals
133,2009,Durban,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,Royal Challengers Bangalore,0,5,MV Boucher,MR Benson,TH Wijewardene,Kolkata Knight Riders,,,Royal Challengers Bangalore
134,2009,Durban,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,Kings XI Punjab,3,0,KC Sangakkara,MR Benson,SL Shastri,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,
135,2009,Centurion,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,6,DP Nannes,GAV Baxter,AM Saheba,Deccan Chargers,Delhi Daredevils,,Delhi Daredevils
136,2009,Centurion,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,Chennai Super Kings,38,0,SK Raina,GAV Baxter,RE Koertzen,Rajasthan Royals,,Chennai Super Kings,
137,2009,East London,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,Mumbai Indians,9,0,JP Duminy,M Erasmus,SK Tarapore,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,
138,2009,Durban,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,8,0,Yuvraj Singh,HDPK Dharmasena,S Ravi,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,
139,2009,Port Elizabeth,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,Rajasthan Royals,0,3,YK Pathan,S Asnani,BG Jerling,Deccan Chargers,,,Rajasthan Royals
140,2009,Johannesburg,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,Chennai Super Kings,18,0,SB Jakati,DJ Harper,RE Koertzen,Delhi Daredevils,,Chennai Super Kings,
141,2009,Port Elizabeth,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,Kings XI Punjab,0,6,DPMD Jayawardene,S Asnani,MR Benson,Kolkata Knight Riders,,,Kings XI Punjab
142,2009,Johannesburg,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,Royal Challengers Bangalore,0,9,JH Kallis,RE Koertzen,TH Wijewardene,Mumbai Indians,,,Royal Challengers Bangalore
143,2009,East London,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,Chennai Super Kings,78,0,MS Dhoni,BR Doctrove,M Erasmus,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,
144,2009,Durban,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,Rajasthan Royals,78,0,GC Smith,SS Hazare,IL Howell,Kings XI Punjab,,Rajasthan Royals,
145,2009,Durban,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,Delhi Daredevils,0,9,G Gambhir,GAV Baxter,IL Howell,Kolkata Knight Riders,,,Delhi Daredevils
146,2009,Centurion,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,Deccan Chargers,19,0,RG Sharma,MR Benson,HDPK Dharmasena,Mumbai Indians,Deccan Chargers,Deccan Chargers,
147,2009,Centurion,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,7,A Singh,K Hariharan,DJ Harper,Royal Challengers Bangalore,Rajasthan Royals,,Rajasthan Royals
148,2009,Centurion,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,Chennai Super Kings,12,0,ML Hayden,DJ Harper,TH Wijewardene,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,
149,2009,East London,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,Delhi Daredevils,0,7,A Nehra,M Erasmus,SK Tarapore,Mumbai Indians,,,Delhi Daredevils
150,2009,Kimberley,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,3,DPMD Jayawardene,GAV Baxter,AM Saheba,Deccan Chargers,Kings XI Punjab,,Kings XI Punjab
151,2009,Kimberley,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,Chennai Super Kings,0,7,S Badrinath,GAV Baxter,HDPK Dharmasena,Rajasthan Royals,,,Chennai Super Kings
152,2009,Port Elizabeth,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,Mumbai Indians,16,0,JP Duminy,BR Doctrove,BG Jerling,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,
153,2009,Johannesburg,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,7,A Mishra,SL Shastri,RB Tiffin,Kolkata Knight Riders,Delhi Daredevils,,Delhi Daredevils
154,2009,Kimberley,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,Deccan Chargers,53,0,DR Smith,GAV Baxter,HDPK Dharmasena,Rajasthan Royals,Deccan Chargers,Deccan Chargers,
155,2009,Centurion,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,6,LRPL Taylor,M Erasmus,SS Hazare,Kolkata Knight Riders,Royal Challengers Bangalore,,Royal Challengers Bangalore
156,2009,Centurion,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,Mumbai Indians,0,8,Harbhajan Singh,SS Hazare,RE Koertzen,Kings XI Punjab,,,Mumbai Indians
157,2009,Durban,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,Delhi Daredevils,12,0,R Bhatia,DJ Harper,SL Shastri,Deccan Chargers,,Delhi Daredevils,
158,2009,Durban,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,Royal Challengers Bangalore,0,2,LRPL Taylor,BR Doctrove,DJ Harper,Chennai Super Kings,,,Royal Challengers Bangalore
159,2009,Durban,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,Rajasthan Royals,2,0,SK Warne,BR Doctrove,DJ Harper,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,
160,2009,Bloemfontein,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,6,B Lee,HDPK Dharmasena,IL Howell,Delhi Daredevils,Kings XI Punjab,,Kings XI Punjab
161,2009,Port Elizabeth,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,Chennai Super Kings,0,7,ML Hayden,SK Tarapore,SJA Taufel,Mumbai Indians,,,Chennai Super Kings
162,2009,Johannesburg,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,Deccan Chargers,0,6,RG Sharma,RE Koertzen,S Ravi,Kolkata Knight Riders,Deccan Chargers,,Deccan Chargers
163,2009,Johannesburg,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,Kings XI Punjab,1,0,Yuvraj Singh,S Ravi,RB Tiffin,Deccan Chargers,,Kings XI Punjab,
164,2009,Bloemfontein,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,Delhi Daredevils,14,0,AB de Villiers,SS Hazare,IL Howell,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,
165,2009,Centurion,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,Kolkata Knight Riders,0,7,BJ Hodge,SJA Taufel,RB Tiffin,Chennai Super Kings,,,Kolkata Knight Riders
166,2009,Johannesburg,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,normal,Royal Challengers Bangalore,0,7,JH Kallis,IL Howell,RB Tiffin,Delhi Daredevils,,,Royal Challengers Bangalore
167,2009,Durban,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,4,LR Shukla,BG Jerling,SJA Taufel,Rajasthan Royals,Kolkata Knight Riders,,Kolkata Knight Riders
168,2009,Durban,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,Chennai Super Kings,24,0,M Muralitharan,BG Jerling,SJA Taufel,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,
169,2009,Centurion,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,4,V Sehwag,IL Howell,S Ravi,Mumbai Indians,Delhi Daredevils,,Delhi Daredevils
170,2009,Centurion,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,12,0,MK Pandey,IL Howell,S Ravi,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,
171,2009,Centurion,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,Deccan Chargers,0,6,AC Gilchrist,BR Doctrove,DJ Harper,Delhi Daredevils,Deccan Chargers,,Deccan Chargers
172,2009,Johannesburg,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,6,MK Pandey,RE Koertzen,SJA Taufel,Chennai Super Kings,Royal Challengers Bangalore,,Royal Challengers Bangalore
173,2009,Johannesburg,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Deccan Chargers,6,0,A Kumble,RE Koertzen,SJA Taufel,Royal Challengers Bangalore,,Deccan Chargers,
174,2010,Mumbai,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,Kolkata Knight Riders,11,0,AD Mathews,RE Koertzen,RB Tiffin,Deccan Chargers,,Kolkata Knight Riders,
175,2010,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,Mumbai Indians,4,0,YK Pathan,RE Koertzen,RB Tiffin,Rajasthan Royals,Mumbai Indians,Mumbai Indians,
176,2010,Chandigarh,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,5,G Gambhir,BR Doctrove,S Ravi,Kings XI Punjab,Delhi Daredevils,,Delhi Daredevils
177,2010,Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,7,MK Tiwary,HDPK Dharmasena,AM Saheba,Royal Challengers Bangalore,Kolkata Knight Riders,,Kolkata Knight Riders
178,2010,Chennai,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,Deccan Chargers,31,0,WPUJC Vaas,K Hariharan,DJ Harper,Chennai Super Kings,Deccan Chargers,Deccan Chargers,
179,2010,Ahmedabad,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,6,V Sehwag,BG Jerling,RE Koertzen,Rajasthan Royals,Delhi Daredevils,,Delhi Daredevils
180,2010,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,Royal Challengers Bangalore,0,8,JH Kallis,S Das,DJ Harper,Kings XI Punjab,,,Royal Challengers Bangalore
181,2010,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,Chennai Super Kings,55,0,MS Dhoni,HDPK Dharmasena,AM Saheba,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,
182,2010,Delhi,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Mumbai Indians,98,0,SR Tendulkar,BR Doctrove,SK Tarapore,Delhi Daredevils,,Mumbai Indians,
183,2010,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,10,JH Kallis,K Hariharan,DJ Harper,Rajasthan Royals,Royal Challengers Bangalore,,Royal Challengers Bangalore
184,2010,Delhi,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,normal,Chennai Super Kings,0,5,ML Hayden,BR Doctrove,SK Tarapore,Delhi Daredevils,,,Chennai Super Kings
185,2010,Cuttack,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,Deccan Chargers,6,0,A Symonds,BF Bowden,M Erasmus,Kings XI Punjab,,Deccan Chargers,
186,2010,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,Rajasthan Royals,34,0,AA Jhunjhunwala,RE Koertzen,RB Tiffin,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,
187,2010,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,Royal Challengers Bangalore,0,7,JH Kallis,HDPK Dharmasena,SS Hazare,Mumbai Indians,,,Royal Challengers Bangalore
188,2010,Cuttack,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,Deccan Chargers,10,0,A Symonds,BF Bowden,M Erasmus,Delhi Daredevils,Deccan Chargers,Deccan Chargers,
189,2010,Chennai,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,tie,Kings XI Punjab,0,0,J Theron,K Hariharan,DJ Harper,Chennai Super Kings,,Kings XI Punjab,
190,2010,Mumbai,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,Mumbai Indians,0,7,SR Tendulkar,SS Hazare,SJA Taufel,Kolkata Knight Riders,,,Mumbai Indians
191,2010,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,Royal Challengers Bangalore,36,0,RV Uthappa,RE Koertzen,RB Tiffin,Chennai Super Kings,,Royal Challengers Bangalore,
192,2010,Chandigarh,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,Rajasthan Royals,31,0,AC Voges,BR Doctrove,SK Tarapore,Kings XI Punjab,,Rajasthan Royals,
193,2010,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,5,SR Tendulkar,BF Bowden,AM Saheba,Chennai Super Kings,Mumbai Indians,,Mumbai Indians
194,2010,Ahmedabad,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,Rajasthan Royals,0,8,YK Pathan,HDPK Dharmasena,SJA Taufel,Deccan Chargers,,,Rajasthan Royals
195,2010,Chandigarh,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,39,0,MK Tiwary,BR Doctrove,S Ravi,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,
196,2010,Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Delhi Daredevils,17,0,KM Jadhav,BG Jerling,RE Koertzen,Royal Challengers Bangalore,,Delhi Daredevils,
197,2010,Ahmedabad,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,Rajasthan Royals,17,0,NV Ojha,SS Hazare,SJA Taufel,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,
198,2010,Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,Mumbai Indians,41,0,Harbhajan Singh,S Das,K Hariharan,Deccan Chargers,,Mumbai Indians,
199,2010,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,Delhi Daredevils,40,0,DA Warner,SS Hazare,SJA Taufel,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,
200,2010,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,4,SL Malinga,BR Doctrove,SK Tarapore,Kings XI Punjab,Mumbai Indians,,Mumbai Indians
201,2010,Chennai,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,Chennai Super Kings,0,5,M Vijay,BG Jerling,RE Koertzen,Royal Challengers Bangalore,,,Chennai Super Kings
202,2010,Delhi,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,Delhi Daredevils,67,0,KD Karthik,HDPK Dharmasena,SJA Taufel,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,
203,2010,Kolkata,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,24,0,SC Ganguly,K Hariharan,DJ Harper,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,
204,2010,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,Royal Challengers Bangalore,0,6,KP Pietersen,BF Bowden,M Erasmus,Kings XI Punjab,,,Royal Challengers Bangalore
205,2010,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,Chennai Super Kings,23,0,M Vijay,RE Koertzen,RB Tiffin,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,
206,2010,Mumbai,Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,normal,Mumbai Indians,63,0,AT Rayudu,BR Doctrove,S Ravi,Deccan Chargers,Mumbai Indians,Mumbai Indians,
207,2010,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,Kings XI Punjab,0,8,DPMD Jayawardene,S Asnani,DJ Harper,Kolkata Knight Riders,,,Kings XI Punjab
208,2010,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,normal,Delhi Daredevils,37,0,PD Collingwood,BF Bowden,M Erasmus,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,
209,2010,Nagpur,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,normal,Rajasthan Royals,2,0,SK Warne,HDPK Dharmasena,SJA Taufel,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,
210,2010,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,Chennai Super Kings,24,0,SK Raina,S Asnani,DJ Harper,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,
211,2010,Jaipur,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,Rajasthan Royals,0,9,MJ Lumb,S Ravi,SK Tarapore,Kings XI Punjab,,,Rajasthan Royals
212,2010,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,14,0,SC Ganguly,BG Jerling,RE Koertzen,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,
213,2010,Bangalore,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,Deccan Chargers,0,7,TL Suman,S Asnani,DJ Harper,Royal Challengers Bangalore,Deccan Chargers,,Deccan Chargers
214,2010,Chandigarh,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,Kings XI Punjab,0,6,KC Sangakkara,M Erasmus,AM Saheba,Mumbai Indians,,,Kings XI Punjab
215,2010,Nagpur,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,Deccan Chargers,0,6,RJ Harris,HDPK Dharmasena,SJA Taufel,Chennai Super Kings,,,Deccan Chargers
216,2010,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,7,R Vinay Kumar,K Hariharan,DJ Harper,Kolkata Knight Riders,Royal Challengers Bangalore,,Royal Challengers Bangalore
217,2010,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,Kings XI Punjab,0,7,PP Chawla,BF Bowden,AM Saheba,Delhi Daredevils,,,Kings XI Punjab
218,2010,Jaipur,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,Mumbai Indians,37,0,SR Tendulkar,BR Doctrove,SK Tarapore,Rajasthan Royals,,Mumbai Indians,
219,2010,Nagpur,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Deccan Chargers,13,0,Harmeet Singh,RE Koertzen,RB Tiffin,Royal Challengers Bangalore,,Deccan Chargers,
220,2010,Mumbai,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,Mumbai Indians,39,0,KA Pollard,S Asnani,DJ Harper,Delhi Daredevils,Mumbai Indians,Mumbai Indians,
221,2010,Chennai,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,Chennai Super Kings,0,9,R Ashwin,SS Hazare,SJA Taufel,Kolkata Knight Riders,,,Chennai Super Kings
222,2010,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,Royal Challengers Bangalore,0,5,KP Pietersen,BR Doctrove,S Ravi,Rajasthan Royals,,,Royal Challengers Bangalore
223,2010,Chennai,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,Delhi Daredevils,0,6,G Gambhir,HDPK Dharmasena,SS Hazare,Chennai Super Kings,,,Delhi Daredevils
224,2010,Dharamsala,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,Deccan Chargers,0,5,RG Sharma,M Erasmus,AM Saheba,Kings XI Punjab,Deccan Chargers,,Deccan Chargers
225,2010,Bangalore,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Mumbai Indians,57,0,R McLaren,HDPK Dharmasena,SJA Taufel,Royal Challengers Bangalore,,Mumbai Indians,
226,2010,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,Kolkata Knight Riders,0,8,JD Unadkat,BG Jerling,RB Tiffin,Rajasthan Royals,,,Kolkata Knight Riders
227,2010,Dharamsala,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,0,6,MS Dhoni,BF Bowden,AM Saheba,Kings XI Punjab,Chennai Super Kings,,Chennai Super Kings
228,2010,Delhi,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,Deccan Chargers,11,0,A Symonds,BR Doctrove,SK Tarapore,Delhi Daredevils,Deccan Chargers,Deccan Chargers,
229,2010,Kolkata,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,Kolkata Knight Riders,0,9,M Kartik,BG Jerling,RE Koertzen,Mumbai Indians,,,Kolkata Knight Riders
230,2010,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,Mumbai Indians,35,0,KA Pollard,BR Doctrove,RB Tiffin,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,
231,2010,Mumbai,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,Chennai Super Kings,38,0,DE Bollinger,BR Doctrove,RB Tiffin,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,
232,2010,Mumbai,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,Royal Challengers Bangalore,0,9,A Kumble,RE Koertzen,SJA Taufel,Deccan Chargers,,,Royal Challengers Bangalore
233,2010,Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,Chennai Super Kings,22,0,SK Raina,RE Koertzen,SJA Taufel,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,
234,2011,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,Chennai Super Kings,2,0,S Anirudha,BR Doctrove,PR Reiffel,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,
235,2011,Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,8,SK Trivedi,RE Koertzen,SK Tarapore,Deccan Chargers,Rajasthan Royals,,Rajasthan Royals
236,2011,Kochi,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,normal,Royal Challengers Bangalore,0,6,AB de Villiers,HDPK Dharmasena,K Hariharan,Kochi Tuskers Kerala,,,Royal Challengers Bangalore
